Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D5.0mm_P2.50mm,2,4.7uF,
J1,EighthInch_PJ398SM_T_TN_S,1,IN1,
J2,EighthInch_PJ398SM_T_TN_S,1,IN2,
J3,EighthInch_PJ398SM_T_TN_S,1,IN3,
J4,EighthInch_PJ398SM_T_TN_S,1,IN4,
J5,EighthInch_PJ398SM_T_TN_S,1,OUT,
J7,IDC-Header_2x05_P2.54mm_Vertical_Euro_Power_Striped,1,Eurorack_Power_10pin_Unshrouded,
"R1, R2, R3, R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5,100K,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,22K,
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,4.7K,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1K,
"RV1, RV2, RV3, RV4",Pot_9mm_DShaft_RemovedPins4_5,4,10K,
RV5,Pot_9mm_DShaft_RemovedPins4_5,1,100K,
U2,DIP-8_W7.62mm,1,TL072,
